date,pm2_5,pm10,carbon_monoxide,dust,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure,location,pm25_today,pm25_lag1,pm25_lag7,pm25_7d_mean,pm25_tomorrow,tomorrow_exceeds_37_5,day_of_week,month
2024-08-15,11.429166666666667,16.083333333333332,555.1666666666666,0.4583333333333333,26.541666666666668,87.79166666666667,3.670833333333333,204.08333333333334,23.5,970.8958333333334,chiang_mai,11.429166666666667,12.975,15.033333333333333,14.207738095238096,14.183333333333332,0,3,8
2024-08-16,14.183333333333332,20.054166666666667,596.875,0.0,26.462500000000002,89.0,3.5833333333333335,154.16666666666666,20.700000000000003,970.6208333333334,chiang_mai,14.183333333333332,11.429166666666667,17.416666666666668,13.692857142857141,11.254166666666668,0,4,8
2024-08-17,11.254166666666668,15.987499999999999,491.2916666666667,0.0,26.474999999999998,88.08333333333333,4.404166666666667,196.58333333333334,4.8,971.9666666666667,chiang_mai,11.254166666666668,14.183333333333332,12.191666666666668,13.230952380952383,9.883333333333333,0,5,8
2024-08-18,9.883333333333333,14.095833333333333,469.1666666666667,0.0,26.7,87.875,3.7083333333333335,173.70833333333334,18.0,972.7458333333334,chiang_mai,9.883333333333333,11.254166666666668,12.870833333333332,13.097023809523808,13.591666666666667,0,6,8
2024-08-19,13.591666666666667,19.370833333333334,573.125,0.0,26.795833333333334,86.375,3.579166666666667,210.58333333333334,16.6,972.2208333333333,chiang_mai,13.591666666666667,9.883333333333333,17.1125,12.670238095238096,16.495833333333334,0,0,8
2024-08-20,16.495833333333334,23.504166666666666,710.5416666666666,0.0,25.712500000000002,89.58333333333333,3.829166666666667,161.08333333333334,4.7,973.0458333333332,chiang_mai,16.495833333333334,13.591666666666667,11.854166666666666,12.167261904761904,13.020833333333334,0,1,8
2024-08-21,13.020833333333334,18.5625,752.25,0.0,25.46666666666667,92.5,3.2541666666666664,117.0,10.4,973.3083333333334,chiang_mai,13.020833333333334,16.495833333333334,12.975,12.830357142857142,9.783333333333333,0,2,8
2024-08-22,9.783333333333333,13.941666666666668,544.5833333333334,0.0,25.8875,88.70833333333333,4.116666666666666,176.5,9.3,973.4291666666667,chiang_mai,9.783333333333333,13.020833333333334,11.429166666666667,12.836904761904762,8.416666666666666,0,3,8
2024-08-23,8.416666666666666,11.983333333333334,424.875,0.0,25.412499999999998,88.41666666666667,4.3374999999999995,192.79166666666666,33.7,974.5625,chiang_mai,8.416666666666666,9.783333333333333,14.183333333333332,12.601785714285715,10.75,0,4,8
2024-08-24,10.75,15.325000000000001,542.2083333333334,0.0,25.583333333333332,88.25,4.841666666666667,227.91666666666666,12.1,974.4625,chiang_mai,10.75,8.416666666666666,11.254166666666668,11.777976190476192,13.025,0,5,8
2024-08-25,13.025,18.575,580.875,0.0,26.3,85.20833333333333,3.358333333333333,176.54166666666666,14.7,973.0625,chiang_mai,13.025,10.75,9.883333333333333,11.705952380952382,13.995833333333332,0,6,8
2024-08-26,13.995833333333332,19.8875,794.9166666666666,0.0,26.587500000000002,84.79166666666667,4.458333333333333,152.70833333333334,5.1,972.0916666666667,chiang_mai,13.995833333333332,13.025,13.591666666666667,12.154761904761903,16.833333333333332,0,0,8
2024-08-27,16.833333333333332,23.8625,666.6666666666666,0.0,25.420833333333334,90.875,3.3541666666666665,187.08333333333334,20.2,972.5124999999999,chiang_mai,16.833333333333332,13.995833333333332,16.495833333333334,12.2125,13.058333333333332,0,1,8
2024-08-28,13.058333333333332,18.533333333333335,504.1666666666667,0.0,25.191666666666666,90.875,3.0541666666666667,180.375,10.3,971.6416666666668,chiang_mai,13.058333333333332,16.833333333333332,13.020833333333334,12.260714285714286,9.591666666666667,0,2,8
2024-08-29,9.591666666666667,13.616666666666667,434.4583333333333,0.0,25.416666666666668,88.70833333333333,4.2749999999999995,192.45833333333334,13.2,971.5458333333332,chiang_mai,9.591666666666667,13.058333333333332,9.783333333333333,12.266071428571427,11.966666666666667,0,3,8
2024-08-30,11.966666666666667,17.1125,464.1666666666667,0.0,26.304166666666664,85.625,4.616666666666666,179.95833333333334,2.5,972.0041666666666,chiang_mai,11.966666666666667,9.591666666666667,8.416666666666666,12.238690476190474,13.7875,0,4,8
2024-08-31,13.7875,19.758333333333333,616.125,0.0,26.208333333333332,86.16666666666667,4.408333333333333,161.41666666666666,10.200000000000001,972.3125,chiang_mai,13.7875,11.966666666666667,10.75,12.745833333333332,14.950000000000001,0,5,8
2024-09-01,14.950000000000001,21.349999999999998,583.8333333333334,0.0,26.55,84.625,3.1875,202.54166666666666,1.2,971.8791666666666,chiang_mai,14.950000000000001,13.7875,13.025,13.179761904761904,16.441666666666666,0,6,9
2024-09-02,16.441666666666666,23.474999999999998,676.4166666666666,0.0,26.695833333333336,85.75,2.845833333333333,210.70833333333334,2.3,971.9541666666668,chiang_mai,16.441666666666666,14.950000000000001,13.995833333333332,13.454761904761906,21.479166666666668,0,0,9
2024-09-03,21.479166666666668,30.741666666666664,755.5833333333334,0.0,26.954166666666666,83.125,4.1000000000000005,208.20833333333334,1.6,972.6458333333334,chiang_mai,21.479166666666668,16.441666666666666,16.833333333333332,13.804166666666665,19.412499999999998,0,1,9
2024-09-04,19.412499999999998,27.8,698.0416666666666,0.0,27.516666666666666,78.0,4.683333333333334,184.70833333333334,0.0,970.5916666666667,chiang_mai,19.412499999999998,21.479166666666668,13.058333333333332,14.467857142857143,13.070833333333333,0,2,9
2024-09-05,13.070833333333333,18.670833333333334,626.6666666666666,0.0,27.34166666666667,82.625,3.795833333333333,179.04166666666666,3.1,969.3375,chiang_mai,13.070833333333333,19.412499999999998,9.591666666666667,15.375595238095238,12.370833333333332,0,3,9
2024-09-06,12.370833333333332,17.629166666666666,562.7916666666666,0.08333333333333333,26.883333333333336,83.95833333333333,4.441666666666666,165.625,2.3,969.5375,chiang_mai,12.370833333333332,13.070833333333333,11.966666666666667,15.872619047619045,9.979166666666666,0,4,9
2024-09-07,9.979166666666666,14.237499999999999,485.4166666666667,0.20833333333333334,27.516666666666666,80.20833333333333,4.795833333333333,142.20833333333334,0.2,969.8166666666666,chiang_mai,9.979166666666666,12.370833333333332,13.7875,15.930357142857144,7.175,0,5,9
